"Country","City","TypeContract","PriceValue"
"Romania","Iasi","Furnizare","5520"
"Romania","Iasi","Furnizare","2232"
"Romania","Iasi","Furnizare","414"
"Romania","Iasi","Furnizare","20880"
"Romania","Iasi","Furnizare","19872"
"Romania","Iasi","Furnizare","1836"
"Romania","Iasi","Furnizare","14400"
"Romania","Iasi","Furnizare","20160"
"Romania","Iasi","Furnizare","4860"
"Romania","Iasi","Furnizare","107100"
"Romania","Iasi","Furnizare","2220"
"Romania","Iasi","Furnizare","66780"
"Romania","Iasi","Furnizare","42840"
"Romania","Iasi","Furnizare","267624"
"Romania","Iasi","Furnizare","29052"
"Romania","Bucuresti","Furnizare","60815"
"Romania","Braila","Furnizare","123501"
"Romania","Bucuresti","Furnizare","10794"
"Romania","Bucuresti","Furnizare","6300"
"Romania","Bucuresti","Furnizare","307770"
"Romania","Bucuresti","Furnizare","12750"
"Romania","Bucuresti","Furnizare","9360"
"Romania","Bucuresti","Furnizare","80460"
"Romania","Bucuresti","Furnizare","131922"
"Romania","Balteni","Furnizare","3840"
"Romania","Balteni","Furnizare","9300"
"Romania","Balteni","Furnizare","9600"
"Romania","Balteni","Furnizare","10560"
"Romania","Balteni","Furnizare","11400"
"Romania","Balteni","Furnizare","12000"
"Romania","Balteni","Furnizare","13200"
"Romania","Balteni","Furnizare","16560"
"Romania","Balteni","Furnizare","27720"
"Romania","Balteni","Furnizare","99360"
"Romania","Constanta","Furnizare","59600"
"Romania","Craiova","Furnizare","216183"
"Romania","Rasnov","Servicii","1800"
"Romania","Bucuresti","Furnizare","12217"
"Romania","Bucuresti","Furnizare","15235"
"Romania","Bucuresti","Furnizare","18081"
"Romania","Bucuresti","Furnizare","158183"
"Romania","Bucuresti","Furnizare","64014"
"Romania","Bucuresti","Furnizare","918043"
"Romania","Bucuresti","Furnizare","15894"
"Romania","Bucuresti","Furnizare","33523"
"Romania","Bucuresti","Furnizare","48269"
"Romania","Bucuresti","Furnizare","71496"
"Romania","Bucuresti","Furnizare","165240"
"Romania","Bucuresti","Furnizare","247860"
"Romania","Bucuresti","Furnizare","53161"
"Romania","Bucuresti","Furnizare","25855"
"Romania","Bucuresti","Furnizare","32972"
"Romania","Bucuresti","Furnizare","68234"
"Romania","Bucuresti","Furnizare","619200"
"Romania","Bucuresti","Furnizare","27000"
"Romania","Bucuresti","Furnizare","126360"
"Romania","Bucuresti","Servicii","36000"
"Romania","Bucuresti","Servicii","25155"
"Romania","Constanta","Furnizare","164700"
"Romania","Constanta","Furnizare","106920"
"Romania","Constanta","Furnizare","167702"
"Romania","Targoviste","Furnizare","238544"
"Romania","Iasi","Furnizare","2760"
"Romania","Jilava","Furnizare","77700"
"Romania","Brasov","Furnizare","157351"
"Romania","Chitila","Furnizare","17280"
"Romania","Remetea Mare","Furnizare","3300"
"Romania","Remetea Mare","Furnizare","148176"
"Romania","Remetea Mare","Furnizare","94050"
"Romania","Remetea Mare","Furnizare","24471"
"Romania","Remetea Mare","Furnizare","4842"
"Romania","Remetea Mare","Furnizare","79596"
"Romania","Remetea Mare","Furnizare","34794"
"Romania","Remetea Mare","Furnizare","15048"
"Romania","Remetea Mare","Furnizare","8622"
"Romania","Remetea Mare","Furnizare","49068"
"Romania","Remetea Mare","Furnizare","226026"
"Romania","Remetea Mare","Furnizare","21622"
"Romania","Remetea Mare","Furnizare","56400"
"Romania","Remetea Mare","Furnizare","41400"
"Romania","Remetea Mare","Furnizare","17892"
"Romania","Remetea Mare","Furnizare","64512"
"Romania","Remetea Mare","Furnizare","28800"
"Romania","Remetea Mare","Furnizare","104904"
"Romania","Remetea Mare","Furnizare","44554"
"Romania","Remetea Mare","Furnizare","7122"
"Romania","Remetea Mare","Furnizare","2304"
"Romania","Remetea Mare","Furnizare","164700"
"Romania","Remetea Mare","Furnizare","187200"
"Romania","Remetea Mare","Furnizare","106920"
"Romania","Remetea Mare","Furnizare","251856"
"Romania","Remetea Mare","Furnizare","264576"
"Romania","Remetea Mare","Furnizare","618240"
"Romania","Remetea Mare","Furnizare","7020"
"Romania","Remetea Mare","Furnizare","11319"
"Romania","Remetea Mare","Servicii","10400"
"Romania","Bucuresti","Furnizare","3255"
"Romania","Bucuresti","Furnizare","58080"
"Romania","Rosia de Amaradia","Servicii","79406"
"Romania","Rosia de Amaradia","Servicii","370086"
"Romania","Cluj-Napoca","Servicii","24302"
"Romania","Cluj-Napoca","Servicii","328846"
"Romania","Cluj-Napoca","Servicii","344326"
"Romania","Cluj-Napoca","Servicii","30492"
"Romania","Cluj-Napoca","Servicii","25132"
"Romania","Cluj-Napoca","Servicii","222960"
"Romania","Cluj-Napoca","Servicii","95500"
"Romania","Cluj-Napoca","Servicii","172471"
"Romania","Ploiesti","Servicii","92441"
"Romania","Zalau","Servicii","9156"
"Romania","Zalau","Servicii","240598"
"Romania","Bucuresti","Servicii","4600"
"Romania","Slobozia","Servicii","49678"
"Romania","Piatra-Neamt","Servicii","74328"
"Romania","Piatra-Neamt","Servicii","529450"
"Romania","Piatra-Neamt","Servicii","36072"
"Romania","Piatra-Neamt","Servicii","490306"
"Romania","Piatra-Neamt","Servicii","51422"
"Romania","Piatra-Neamt","Servicii","246100"
"Romania","Piatra-Neamt","Servicii","184894"
"Romania","Piatra-Neamt","Servicii","9410"
"Romania","Piatra-Neamt","Servicii","14400"
"Romania","Piatra-Neamt","Servicii","305000"
